inputs,outputs
"please give me the address and directions via the quickest route to the nearest gas station.  the valero and shell are both Shell_distance away, but there is a road block nearby. do you prefer one one? let's try to go to shell. okay, there is moderate traffic on the route to shell. you will find it at Shell_address ok car assitant, plot the quickest route to shell. setting navigation to shell now.  thank you car assistant",you are welcome driver!
"car, what is my home address and can you get us there with no traffic? the only route home to home_address has a car collision reported.  patience, please set the gps to go there, thank you! setting navigation now. drive carefully.  thank you.",you're welcome
when is the next yoga lesson and who is coming with me? you have one yoga activity on tuesday and one on yoga_activity_date. which one are you interested in? please give me the information for yoga_activity_date.,your yoga activity on yoga_activity_date is at 9am with your mother.
is it supposed to rain this week,what city are you inquiring about?
take me to the closest mall stanford shopping center is the closest mall at Stanford_Shopping_Center_distance away located at 773 alger drive.  thank you,you are welcome.
what is the weather like today what city would you like the weather forecast for? for menlo park please.,today in menlo park the forecast is cloudy with a low of 80f and high of 90f.
is it snowing next week,what city would you like me to check to see if it's snowing?
car please show the possible routes to get home,i don't have it saved on my memory: can you give me the address please?
please give me the address and directions via a route with Dominos_traffic_info to the nearest pizza restaurant.,dominos is at 776 arastradero rd. it is Dominos_distance away with no traffic. setting directions now.
"on what date is my doctor's appointment and who is going? your doctor's appointment is on the 5th with alex. great, thanks.",you are welcome.
"set a reminder for a conference with vice president at 3 pm on saturday.  reminder set for conference with vice president at 3 pm on saturday.  cool, thank you.",you are welcome.
give me the weather for next week,what location would you like the weather for?
locate any hospitals in the area.,the nearest hospital is called palo alto medical foundation and is Palo_Alto_Medical_Foundation_distance away.
"direct me to the nearest starbucks there is no starbucks nearby. then tell me about another coffee nearby here and pick the fastest route to reach palo alto cafe is only Palo_Alto_Cafe_distance away. send the address on my screen and let's go there, thank you!","Palo_Alto_Cafe_address, sent it on your gps, drive carefully!"
look in mountain view and tell me if there will be hail this weekend this weekend in mountain view there will be stormy weather on saturday and misty on mountain_view_sunday  thanks.,you're welcome
what time is my next lab appointment and who will be attending it with me?,your next lab appointment is on lab_appointment_date at 4 pm with martha.
"find the nearest parking garage the nearest parking garage is stanford oval parking. please send me its address on screen and pick a route with no traffic, thank you! stanford oval parking is at Stanford_Oval_Parking_address. please set gps for route with no traffic. stanford oval parking has Stanford_Oval_Parking_traffic_info, can you still go there? yes, it will work fine anyway, thank you!",you're very welcome!
