,inputs,outputs,predictions
101,"where can i get coffee there is palo alto cafe Palo_Alto_Cafe_distance away or, if you prefer, philz 6 miles away give me the address of philz. philz is at 583 alester ave. thanks so much. is that the fastest route available? no actually there is another coffee shop that's just two miles away. it's called palo alto cafe and located at Palo_Alto_Cafe_address.  set gps for the fastest route to palo alto cafe.",setting gps to fastest route to palo alto cafe now.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> setting gps to fastest route to palo alto cafe now <eos>
102,"where can i get coffee there is palo alto cafe Palo_Alto_Cafe_distance away or, if you prefer, philz 6 miles away give me the address of philz. philz is at 583 alester ave. thanks so much. is that the fastest route available? no actually there is another coffee shop that's just two miles away. it's called palo alto cafe and located at Palo_Alto_Cafe_address.  set gps for the fastest route to palo alto cafe. setting gps to fastest route to palo alto cafe now. thanks bud.",no problem,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no problem <eos>
103,schedule meeting.,what details shall i add to your meeting reminder?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you you the your <unk> <eos>
104,schedule meeting.  what details shall i add to your meeting reminder? please set it for the 13th at 11am. it is going to be with management and to discuss our company picnic. thank you.,reminder set for your meeting at 11am on the 13th with management to discuss your company picnic.  is there anything else?,<pad> meeting at 11am on the 13th with management to discuss your company picnic <unk> is there anything <unk> <eos>
105,"schedule meeting.  what details shall i add to your meeting reminder? please set it for the 13th at 11am. it is going to be with management and to discuss our company picnic. thank you. reminder set for your meeting at 11am on the 13th with management to discuss your company picnic.  is there anything else? that is all, thank you.",you're welcome,<pad> meeting <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome <eos>
106,what is the weather like in new york city,what would you like to know about the weather in new york?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what you about the like new york <unk> <eos>
107,what is the weather like in new york city what would you like to know about the weather in new york? what will the temperature be on new_york_thursday?,"on new_york_thursday the temperature in new york will be low of 90f, and high of 100f",<pad> <pad> <pad> on new_york_thursday <pad> <pad> <pad> new <pad> will be low of 90f and high of 100f <eos>
108,"what is the weather like in new york city what would you like to know about the weather in new york? what will the temperature be on new_york_thursday? on new_york_thursday the temperature in new york will be low of 90f, and high of 100f thank you very much car!",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
109,can you find me the fastest route to a pizza restaurant?,"the pizza hut is located 5 miles away in heavy traffic, and papa johns is Papa_Johns_distance away in moderate traffic. which of these would you prefer?",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> in <pad> <pad> dish of these would you <unk> <eos>
110,"can you find me the fastest route to a pizza restaurant? the pizza hut is located 5 miles away in heavy traffic, and papa johns is Papa_Johns_distance away in moderate traffic. which of these would you prefer? let's try papa johns tonight.",setting the gps for papa john's anything else?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> setting the gps for papa john's anything <unk> <eos>
111,"can you find me the fastest route to a pizza restaurant? the pizza hut is located 5 miles away in heavy traffic, and papa johns is Papa_Johns_distance away in moderate traffic. which of these would you prefer? let's try papa johns tonight.  setting the gps for papa john's anything else? give me the address and the details for the fastest route there, please.","ok, setting navigation to Papa_Johns_address now. enjoy!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> ok setting navigation to Papa_Johns_address now <unk> <eos>
112,"can you find me the fastest route to a pizza restaurant? the pizza hut is located 5 miles away in heavy traffic, and papa johns is Papa_Johns_distance away in moderate traffic. which of these would you prefer? let's try papa johns tonight.  setting the gps for papa john's anything else? give me the address and the details for the fastest route there, please.  ok, setting navigation to Papa_Johns_address now. enjoy! thank you car!",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
113,i have a meeting tomorrow at 5 pm remind me 10 minutes before hand and attach my agenda to the calendar at 3,i have scheduled a meeting for tomorrow at 5 pm. i will remind you at 4:50 pm and attach your agenda.,<pad> a meeting for tomorrow at 5 pm i your remind you and <unk> pm and attach your calendar <eos>
114,does the forecast say it will snow,what city do you want to know the snow forecast for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you no to know the forecast <unk> <eos>
115,does the forecast say it will snow what city do you want to know the snow forecast for? i need to know about compton for my trip.,do you want me to check if it will snow on a specific day or the entire week?,<pad> <pad> <pad> want me to check if it will snow on a specific day or the entire <unk> <eos>
116,does the forecast say it will snow what city do you want to know the snow forecast for? i need to know about compton for my trip.  do you want me to check if it will snow on a specific day or the entire week? please check if it will snow today or tomorrow,frost is predicted in compton today but there is no snow for today or tomorrow.,<pad> <pad> <pad> <pad> frost is predicted in compton today but there is no snow for today or tomorrow <eos>
117,does the forecast say it will snow what city do you want to know the snow forecast for? i need to know about compton for my trip.  do you want me to check if it will snow on a specific day or the entire week? please check if it will snow today or tomorrow frost is predicted in compton today but there is no snow for today or tomorrow. thank you,you're welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome <eos>
118,i really need to have an appointment scheduled for tennis on the 7th at 11 am.,i am scheduling tennis on the 7th at 11 am.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i am scheduling tennis on the 7th at 11 am <eos>
119,i really need to have an appointment scheduled for tennis on the 7th at 11 am. i am scheduling tennis on the 7th at 11 am.  thanks.,you're welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're welcome <eos>
120,where's the closest place to park,the closest parking garage is 4 miles away. would you like the address and name of it?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> garage the closest at Webster_Garage_distance away <eos>
121,where's the closest place to park the closest parking garage is 4 miles away. would you like the address and name of it? yes please.,"the parking garage is the webster garage, Webster_Garage_distance away at 880 ames ct",<pad> <pad> <pad> <pad> <pad> <pad> the parking garage is the webster garage Webster_Garage_distance away at 880 ames ct <eos>
122,"where's the closest place to park the closest parking garage is 4 miles away. would you like the address and name of it? yes please. the parking garage is the webster garage, Webster_Garage_distance away at 880 ames ct thanks so much.",happy to help!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> happy to <unk> <eos>
123,i need to find a shopping center.,the stanford shopping center at 773 alger dr is Stanford_Shopping_Center_distance away in no traffic. would you like directions there?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> would you reminder the like directions <unk> <eos>
124,i need to find a shopping center.  the stanford shopping center at 773 alger dr is Stanford_Shopping_Center_distance away in no traffic. would you like directions there? yes please.,"i sent all the info on the screen, please drive carefully!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i sent all the info on the screen please drive <unk> <eos>
125,"i need to find a shopping center.  the stanford shopping center at 773 alger dr is Stanford_Shopping_Center_distance away in no traffic. would you like directions there? yes please. i sent all the info on the screen, please drive carefully! thank you.",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
126,is it raining today in grand rapids?,it is not raining today in grand rapids.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> know raining today in grand rapids <eos>
127,is it raining today in grand rapids? it is not raining today in grand rapids. thank you,anytime.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> anytime <eos>
128,when is my football activity and who is going with me?,"you have 3 football activities lined up. 2pm on football_activity_date with tom, 1pm on football_activity_date with your dad, and on sunday at 1pm with your mother",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your dad and on sunday at 1pm with your mother <eos>
129,find out if it's supposed to rain,where would you like to know about the forecast for rain?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> to would about the forecast for <unk> <eos>
130,find out if it's supposed to rain where would you like to know about the forecast for rain? i'm interested in fresno.,there is no rain in the forecast.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> there is no rain in the forecast <eos>
131,find out if it's supposed to rain where would you like to know about the forecast for rain? i'm interested in fresno. there is no rain in the forecast.  thank you,you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
132,what grocery stores are here?,there is a safeway Safeway_distance away.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> your a safeway Safeway_distance away <eos>
133,what grocery stores are here? there is a safeway Safeway_distance away. what is the address?,safeway is at Safeway_address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> safeway is at Safeway_address <eos>
134,what grocery stores are here? there is a safeway Safeway_distance away. what is the address? safeway is at Safeway_address. can you set the navigation to there? thanks.,"sure, i sent the position and the quickest route on your screen, you're welcome!",<pad> <pad> <pad> <pad> <pad> sure i sent the position and the quickest route on your screen you're <unk> <eos>
135,i'm in pain navigate me to the nearest hospital,i have two hospitals located 1 mile away. which one would you like to know about?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> away which one would you like to know <unk> <eos>
136,i'm in pain navigate me to the nearest hospital i have two hospitals located 1 mile away. which one would you like to know about? pick the fastest to reach on the quickest route,"then let's go at palo alto medical foundation, there is Palo_Alto_Medical_Foundation_traffic_info on our way and its address is 611 ames ave",<pad> i palo alto medical foundation there is Palo_Alto_Medical_Foundation_traffic_info on our way and its you is 611 ames way <eos>
137,"i'm in pain navigate me to the nearest hospital i have two hospitals located 1 mile away. which one would you like to know about? pick the fastest to reach on the quickest route then let's go at palo alto medical foundation, there is Palo_Alto_Medical_Foundation_traffic_info on our way and its address is 611 ames ave sounds great, thank you.",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
